【75V11】特別支援学校幼稚部教育要領（平成21年告示）コード表　Ver 1.1,,,
教科等,No,教育要領テキスト,教育要領コード
指導計画の作成に当たっての留意事項,75,その際， 幼児の実態及び幼児を取り巻く状況の変化などに即して指導の過程についての反省や評価を適切に行い， 常に指導計画の改善を図ること。,75m0000112400000
指導計画の作成に当たっての留意事項,76,３   幼児の障害の状態などに応じた効果的な指導を行うため， 一人一人の幼児の実態を的確に把握し， 個別の指導計画を作成すること。 また， 個別の指導計画に基づいて行われた活動の状況や結果を適切に評価し， 指導の改善に努めること。,75m0000113000000
指導計画の作成に当たっての留意事項,77,４   幼児の生活は， 入学当初の一人一人の遊びや教師との触れ合いを通して学校生活に親しみ，安定していく時期から， やがて友達同士で目的をもって学校生活を展開し， 深めていく時期などに至るまでの過程を様々に経ながら広げられていくものであることを考慮し， 活動がそれぞれの時期にふさわしく展開されるようにすること。 その際， 入学当初， 特に，  ３歳児の入学については， 家庭との連携を緊密にし， 生活のリズムや安全面に十分配慮すること。,75m0000114000000
指導計画の作成に当たっての留意事項,78,５   幼児が様々な人やものとのかかわりを通して， 多様な体験をし， 心身の調和のとれた発達を促すようにしていくこと。 その際， 心が動かされる体験が次の活動を生み出すことを考慮し，一つ一つの体験が相互に結び付き， 学校生活が充実するようにすること。,75m0000115000000
指導計画の作成に当たっての留意事項,79,６   長期的に発達を見通した年， 学期， 月などにわたる長期の指導計画やこれとの関連を保ちながらより具体的な幼児の生活に即した週，  日などの短期の指導計画を作成し， 適切な指導が行われるようにすること。特に，週，  日などの短期の指導計画については，幼児の障害の状態や生活のリズム， 幼児を取り巻く環境等に配慮し， 幼児の意識や興味の連続性のある活動が相互に関連して幼稚部における生活の自然な流れの中に組み込まれるようにすること。,75m0000116000000
指導計画の作成に当たっての留意事項,80,７   幼児の行う活動は， 個人， グループ， 学級全体などで多様に展開されるものであるが， いずれの場合にも， 学校全体の教師による協力体制をつくりながら， 一人一人の幼児が興味や欲求を十分に満足させるよう適切な援助を行うようにすること。,75m0000117000000
指導計画の作成に当たっての留意事項,81,８   幼児の主体的な活動を促すためには， 教師が多様なかかわりをもつことが重要であることを踏まえ， 教師は， 理解者， 共同作業者など様々な役割を果たし， 幼児の発達に必要な豊かな体験が得られるよう，活動の場面に応じて，適切な指導を行うようにすること。,75m0000118000000
指導計画の作成に当たっての留意事項,82,９   幼児の生活は， 家庭を基盤として地域社会を通じて次第に広がりをもつものであることに留意し， 家庭との連携を十分に図るなど， 学校生活が家庭や地域社会と連続性を保ちつつ展開されるようにすること。その際，地域の自然，人材，行事や公共施設などの地域の資源を積極的に活用し， 幼児が豊かな生活体験を得られるように工夫すること。 また， 家庭との連携に当たっては， 保護者との情報交換の機会を設けたり， 保護者と幼児との活動の機会を設けたりなどすることを通じて， 保護者の幼児期の教育に関する理解が深まるよう配慮すること。,75m0000119000000
指導計画の作成に当たっての留意事項,83,10  各学校においては， 幼稚部における教育が， 小学部以降の生活や学習の基盤の育成につながることに配慮し， 幼児期にふさわしい生活を通して， 創造的な思考や主体的な生活態度などの基礎を培うようにすること。,75m000011A000000
指導計画の作成に当たっての留意事項,84,11  幼児の経験を広めて積極的な態度を養い， 社会性や豊かな人間性をはぐくむために， 学校生活全体を通じて， 幼稚園の幼児などと活動を共にすることを計画的， 組織的に行うとともに，地域の人々などと活動を共にする機会を積極的に設けること。,75m000011B000000
指導計画の作成に当たっての留意事項,85,12  学校医等との連絡を密にし， 幼児の障害の状態に応じた保健及び安全に十分留意すること。,75m000011C000000
指導計画の作成に当たっての留意事項,86,13  家庭及び地域や医療， 福祉， 保健等の業務を行う関係機関との連携を図り， 長期的な視点で幼児への教育的支援を行うために， 個別の教育支援計画を作成すること。,75m000011D000000
指導計画の作成に当たっての留意事項,87,第２　特に留意する事項,75m0000120000000
指導計画の作成に当たっての留意事項,88,１   安全に関する指導に当たっては， 情緒の安定を図り， 遊びを通して状況に応じて機敏に自分の体を動かすことができるようにするとともに，危険な場所や事物などが分かり，安全についての理解を深めるようにすること。また，交通安全の習慣を身に付けるようにするとともに，災害などの緊急時に適切な行動がとれるようにするための訓練なども行うようにすること。,75m0000121000000
指導計画の作成に当たっての留意事項,89,２   行事の指導に当たっては，幼稚部における生活の自然な流れの中で生活に変化や潤いを与え，幼児が主体的に楽しく活動できるようにすること。 なお， それぞれの行事についてはその教育的価値を十分検討し， 適切なものを精選し， 幼児の負担にならないようにすること。,75m0000122000000
指導計画の作成に当たっての留意事項,90,３   知的障害のある幼児の指導に当たっては， その障害の状態等に応じて具体的な内容の設定を工夫すること。,75m0000123000000
指導計画の作成に当たっての留意事項,91,４   複数の種類の障害を併せ有する幼児の指導に当たっては， 専門的な知識や技能を有する教師間の協力の下に指導を行ったり， 必要に応じて専門の医師及びその他の専門家の指導 ・助言を求めたりするなどして， 全人的な発達を促すようにすること。,75m0000124000000
指導計画の作成に当たっての留意事項,92,５   教育課程に係る教育時間の終了後等に幼児を対象に教育活動を行う場合は， 第１章の第１に示す幼稚部における教育の基本及び第２に示す幼稚部における教育の目標を踏まえて実施すること。 その際， 幼児の心身の負担， 教育課程に基づく活動との関連， 家庭との緊密な連携などに配慮すること。,75m0000125000000
指導計画の作成に当たっての留意事項,93,６   幼稚部の運営に当たっては， 幼稚園等の要請により， 障害のある幼児又は当該幼児の教育を担当する教師等に対して必要な助言又は援助を行ったり， 地域の実態や家庭の要請等により障害のある乳幼児又はその保護者に対して早期からの教育相談を行ったりするなど， 各学校の教師の専門性や施設・設備を生かした地域における特別支援教育のセンターとしての役割を果たすよう努めること。その際，学校として組織的に取り組むよう校内体制を整備するとともに，他の特別支援学校や地域の幼稚園等との連携を図ること。,75m0000126000000
指導計画の作成に当たっての留意事項,94,７   以上のほか，次の事項に留意すること。,75m0000127000000
指導計画の作成に当たっての留意事項,95,(1) 視覚障害者である幼児に対する教育を行う特別支援学校においては， 早期からの教育相談との関連を図り， 幼児が聴覚， 触覚及び保有する視覚などを十分に活用して周囲の状況を把握し，活発な活動が展開できるようにすること。また，身の回りの具体的な事物・事象や動作と言葉とを結び付けて基礎的な概念の形成を図るようにすること。,75m0000127100000
指導計画の作成に当たっての留意事項,96,(2) 聴覚障害者である幼児に対する教育を行う特別支援学校においては， 早期からの教育相談との関連を図り， 保有する聴覚や視覚的な情報などを十分に活用して言葉の習得と概念の形成を図る指導を進めること。 また， 言葉を用いて人とのかかわりを深めたり，  日常生活に必要な知識を広げたりする態度や習慣を育てること。,75m0000127200000
指導計画の作成に当たっての留意事項,97,(3) 知的障害者である幼児に対する教育を行う特別支援学校においては， 幼児の活動内容や環境の設定を創意工夫し，活動への意欲を高めて，発達を促すようにすること。また，ゆとりや見通しをもって活動に取り組めるよう配慮するとともに， 周囲の状況に応じて安全に行動できるようにすること。,75m0000127300000
指導計画の作成に当たっての留意事項,98,(4) 肢体不自由者である幼児に対する教育を行う特別支援学校においては， 幼児の身体の動きや健康の状態等に応じ， 可能な限り体験的な活動を通して経験を広めるようにすること。 また，幼児が興味や関心をもって，進んで身体を動かそうとしたり，表現したりするような環境を創意工夫すること。,75m0000127400000
指導計画の作成に当たっての留意事項,99,(5) 病弱者である幼児に対する教育を行う特別支援学校においては， 幼児の病気の状態等を十分に考慮し， 負担過重にならない範囲で， 様々な活動が展開できるようにすること。 また，健康状態の維持・改善に必要な生活習慣を身に付けることができるようにすること。,75m0000127500000
