【76V22】特別支援学校小学部・中学部学習指導要領（平成21年告示：平成27年一部改正）コード表　Ver 2.2,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,30,５   特別活動の授業のうち，小学部の児童会活動及びクラブ活動， 中学部の生徒会活動並びに学校行事については， それらの内容に応じ， 年間， 学期ごと， 月ごとなどに適切な授業時数を充てるものとする。,7600000235000000
総則,31,６   小学部又は中学部の各教科等のそれぞれの授業の １ 単位時間は， 各学校において， 児童又は生徒の障害の状態や発達の段階及び各教科等や学習活動の特質を考慮して適切に定める ものとする。 なお， 中学部においては， 10分間程度の短い時間を単位として特定の教科の指導を行う場合において， 当該教科を担当する教師がその指導内容の決定や指導の成果の把握と活用等を責任をもって行う体制が整備されている ときは， その時間を当該教科の年間授業時数に含めることができる。,7600000236000000
総則,32,７   各学校においては，地域や学校，児童又は生徒の実態，各教科等や学習活動の特質等に応じて， 創意工夫を生かし時間割を弾力的に編成することができる。,7600000237000000
総則,33,８   総合的な学習の時間における学習活動により， 特別活動の学校行事に掲げる各行事の実施と同様の成果が期待できる場合においては， 総合的な学習の時間における学習活動をもって相当する特別活動の学校行事に掲げる各行事の実施に替えることができる。,7600000238000000
総則,34,第４   指導計画の作成等に当たって配慮すべき事項,7600000240000000
総則,35,１   各学校においては，次の事項に配慮しながら，学校の創意工夫を生かし，全体として，調和のとれた具体的な指導計画を作成するものとする。,7600000241000000
総則,36,(1) 各教科等及び各学年相互間の関連を図り，系統的，発展的な指導ができるようにすること。,7600000241100000
総則,37,(2) 視覚障害者， 聴覚障害者， 肢体不自由者又は病弱者である児童に対する教育を行う特別支援学校の小学部において， 学年の目標及び内容を２学年まとめて示した教科及び外国語活動については， 当該学年間を見通して， 地域や学校及び児童の実態に応じ， その障害の状態や発達の段階を考慮しつつ，効果的，段階的に指導するようにすること。,7600000241200000
総則,38,(3) 各教科の各学年， 各分野又は各言語の指導内容については， そのまとめ方や重点の置き方に適切な工夫を加えるなど， 効果的な指導ができるようにすること。,7600000241300000
総則,39,(4)小学部においては，児童の実態等を考慮し，指導の効果を高めるため，合科的・関連的な指導を進めること。,7600000241400000
