【7BV11】特別支援学校高等部学習指導要領（平成21年告示）コード表　Ver 1.1,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,44,ウ   自己の将来の生き方や進路についての考察及び各教科・科目の履修計画の作成,7C00000221523000
総則,45,第２   各教科・科目の履修等,7C00000222000000
総則,46,１   各学科に共通する必履修教科・科目及び総合的な学習の時間,7C00000222100000
総則,47,(1)すべての生徒に履修させる各教科・科目 （以下「必履修教科・科目」 という。）は次のとおりとし， その単位数は，  この款の第１の２に標準単位数として示された単位数を下らないものとする。 ただし， 生徒の実態及び専門学科の特色等を考慮し， 特に必要がある場合には，「国語総合」については３単位又は２単位とし，  「数学Ⅰ」及び「コミュニケーション英語Ⅰ」 については２単位とすることができ， その他の必履修教科・科目 （標準単位数が２単位であるものを除く。） についてはその単位数の一部を減じることができる。,7C00000222110000
総則,48,ア  国語のうち「国語総合」,7C00000222111000
総則,49,イ   地理歴史のうち「世界史Ａ」及び「世界史Ｂ」のうちから１科目並びに「日本史Ａ」，「日本史Ｂ」，  「地理Ａ」及び「地理Ｂ」のうちから１科目,7C00000222112000
総則,50,ウ  公民のうち「現代社会」又は「倫理」・「政治・経済」,7C00000222113000
総則,51,エ  数学のうち「数学Ⅰ」,7C00000222114000
総則,52,オ  理科のうち「科学と人間生活」，「物理基礎」，「化学基礎」，「生物基礎」及び「地学基礎」のうちから２科目 （うち１科目は「科学と人間生活」 とする。）又は「物理基礎」，  「化学基礎」，  「生物基礎」及び「地学基礎」のうちから３科目,7C00000222115000
総則,53,カ  保健体育のうち「体育」及び「保健」,7C00000222116000
総則,54,キ  芸術のうち「音楽Ⅰ」，  「美術Ⅰ」，  「工芸Ⅰ」及び「書道Ⅰ」のうちから１科目,7C00000222117000
総則,55,ク   外国語のうち「コミュニケーション英語Ⅰ」 （英語以外の外国語を履修する場合は，学校設定科目として設ける１科目とし，その標準単位数は３単位とする。）,7C00000222118000
総則,56,ケ  家庭のうち「家庭基礎」，  「家庭総合」及び「生活デザイン」のうちから１科目,7C00000222119000
総則,57,コ  情報のうち「社会と情報」及び「情報の科学」のうちから１科目,7C0000022211A000
総則,58,(2)総合的な学習の時間については，すべての生徒に履修させるものとし，その単位数は，各学校において， 学校や生徒の実態に応じて適切に定めるものとする。,7C00000222120000
総則,59,"２   専門学科における各教科・科目の履修
専門学科における各教科・科目の履修については， 上記１のほか次のとおりとする。",7C00000222200000
総則,60,"(1) 専門学科においては， 専門教科・科目 （第２款第１の３の表に掲げる各教科・科目， 同表に掲げる教科に属する学校設定科目及び専門教育に関する学校設定教科に関する科目をいう。 以下同じ。） について， すべての生徒に履修させる単位数は， 25単位を下らないこと。
ただし，各学科の目標を達成する上で，専門教科・科目以外の各教科・科目の履修により，専門教科・科目の履修と同様の成果が期待できる場合においては， その専門教科・科目以外の各教科・科目の単位数の一部の履修をもって， 当該専門教科・科目の単位数の一部の履修に替えることができること。",7C00000222210000
総則,61,(2)専門教科・科目の履修によって，上記１の必履修教科・科目の履修と同様の成果が期待できる場合においては，その専門教科・科目の履修をもって，必履修教科・科目の履修の一部又は全部に替えることができること。,7C00000222220000
総則,62,(3)職業教育を主とする学科においては，総合的な学習の時間の履修により，農業，工業，商業，水産，家庭，情報，保健理療，印刷，理容・美容若しくはクリーニングの各教科に属する「課題研究」，「看護臨地実習」又は「介護総合演習」（以下この項において「課題研究等」という。） の履修と同様の成果が期待できる場合においては， 総合的な学習の時間の履修をもって課題研究等の履修の一部又は全部に替えることができる。 また， 課題研究等の履修により， 総合的な学習の時間の履修と同様の成果が期待できる場合においては， 課題研究等の履修をもって総合的な学習の時間の履修の一部又は全部に替えることができる。,7C00000222230000
総則,63,第３   各教科・科目， 総合的な学習の時間， 特別活動及び自立活動の授業時数等,7C00000223000000
総則,64,１   各教科・科目，ホームルーム活動及び自立活動の授業は，年間35週行うことを標準とし，必要がある場合には， 各教科・科目及び自立活動の授業を特定の学期又は特定の期間 （夏季， 冬季， 学年末等の休業日の期間に授業日を設定する場合を含む。） に行うことができる。,7C00000223100000
総則,65,２   週当たりの授業時数は，30単位時間を標準とする。ただし，特に必要がある場合には，  これを増加することができる。,7C00000223200000
総則,66,３   ホームルーム活動の授業時数については， 原則として， 年間35単位時間以上とするものとする。,7C00000223300000
総則,67,４   生徒会活動及び学校行事については， 学校や生徒の実態に応じて， それぞれ適切な授業時数を充てるものとする。,7C00000223400000
